,Product Name,Sale & Actual Price,Raview & Rattings,Offer,Camera,Memory,Battery,Display,Ratting Number
321,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)","₹10,999₹13,99921% off","38,301 Ratings & 2,253 Reviews",21% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,5000 mAh Battery,17.02 cm (6.7 inch) HD+ Display,4.2
322,"LAVA Bold N1 Pro (Stealth Black, 128 GB)","₹7,886₹8,3996% off",304 Ratings & 19 Reviews,6% off,50MP Rear Camera,4 GB RAM | 128 GB ROM,5000 mAh Battery,16.76 cm (6.6 inch) Display,4
323,"MOTOROLA Edge 60 Stylus (PANTONE Gibraltar Sea, 256 GB)","₹20,999₹28,99927% off","14,009 Ratings & 1,020 Reviews",27% off,50MP + 13MP | 32MP Front Camera,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,16.94 cm (6.67 inch) Display,4.3
324,"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 128 GB)","₹49,999₹74,99933% off","49,320 Ratings & 2,723 Reviews",33% off,50MP + 12MP | 12MP Front Camera,8 GB RAM | 128 GB ROM,4000 mAh Battery,15.75 cm (6.2 inch) Full HD+ Display,4.6
325,"IQOO Z10X 5G (Titanium, 128 GB)","₹15,072₹17,49913% off","8,270 Ratings & 424 Reviews",13% off,50MP Rear Camera,6 GB RAM | 128 GB ROM,6500 mAh Battery,17.02 cm (6.7 inch) Display,4.4
326,"Google Pixel 9A (Porcelain, 256 GB)","₹39,999₹49,99920% off","4,921 Ratings & 336 Reviews",20% off,48MP + 12MP | 12MP Front Camera,8 GB RAM | 256 GB ROM,5100 mAh Battery,15.96 cm (6.285 inch) Full HD+ Display,4.5
327,"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)","₹9,999₹12,49920% off","38,301 Ratings & 2,253 Reviews",20% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB,5000 mAh Battery,17.02 cm (6.7 inch) HD+ Display,4.2
328,"Samsung M06 5G (Blazing Black, 128 GB)","₹12,489₹15,49919% off",715 Ratings & 53 Reviews,19% off,50MP Rear Camera,6 GB RAM | 128 GB ROM,5000 mAh Battery,17.02 cm (6.7 inch) Display,4
329,Jmax Super 1,₹599₹99940% off,"2,288 Ratings & 160 Reviews",40% off,1MP Rear Camera,32 MB RAM | 32 MB ROM,1100 mAh Battery,4.57 cm (1.8 inch) Display,3.8
330,"Samsung Galaxy F16 5G (Glam Green, 128 GB)","₹12,499₹15,99921% off","4,219 Ratings & 253 Reviews",21% off,50MP + 5MP + 2MP | 13MP Front Camera,4 GB RAM | 128 GB ROM,5000 mAh Battery,16.91 cm (6.657 inch) Full HD+ Display,4.1
331,"Samsung Galaxy F36 5G (Red, 128 GB)","₹19,999₹22,99913% off","8,763 Ratings & 500 Reviews",13% off,50MP + 8MP + 2MP | 13MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,5000 mAh Battery,17.02 cm (6.7 inch) Full HD+ Display,4.3
332,"POCO M7 Pro 5G (Olive Twilight, 128 GB)","₹13,499₹18,99928% off","35,203 Ratings & 2,548 Reviews",28% off,50MP + 2MP | 20MP Front Camera,6 GB RAM | 128 GB ROM,5110 mAh Battery,16.94 cm (6.67 inch) Full HD+ Display,4.3
333,"Samsung Galaxy A07 LTE (Green, 64 GB)","₹7,596₹10,49927% off",60 Ratings & 4 Reviews,27% off,50MP + 2MP,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,5000 mAh Battery,17.02 cm (6.7 inch) HD+ Display,4.4
334,"Samsung Galaxy Z Fold7 5G (Blue Shadow, 256 GB)","₹1,74,999",154 Ratings & 2 Reviews,No Offer,200MP + 12MP + 10MP | 10MP Front Camera,12 GB RAM | 256 GB ROM,4400 mAh Battery,20.32 cm (8 inch) QXGA+ Display,4.6
335,"OPPO F29 Pro 5G (Granite Black, 256 GB)","₹23,988₹36,99935% off","1,259 Ratings & 63 Reviews",35% off,50MP + 2MP | 16MP Front Camera,12 GB RAM | 256 GB ROM,6000 mAh Battery,17.02 cm (6.7 inch) Full HD+ Display,4.4
336,"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)","₹18,999₹33,99944% off","67,499 Ratings & 3,897 Reviews",44% off,50MP + 8MP + 5MP | 13MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,16.76 cm (6.6 inch) Full HD+ Display,4.4
337,"Samsung Galaxy A35 5G (Awesome Navy, 128 GB)","₹18,999₹33,99944% off","67,499 Ratings & 3,897 Reviews",44% off,50MP + 8MP + 5MP | 13MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,16.76 cm (6.6 inch) Full HD+ Display,4.4
338,MOTOROLA Moto A300,"₹1,499₹1,69911% off",493 Ratings & 26 Reviews,11% off,1.3MP + 0MP | 0MP Front Camera,4 MB RAM | 32 MB ROM | Expandable Upto 64 GB,1000 mAh Battery,5.08 cm (2 inch) NA Display,4.1
339,"realme P4 5G (Engine Blue, 256 GB)","₹20,999₹23,99912% off","13,016 Ratings & 894 Reviews",12% off,50MP + 8MP | 16MP Front Camera,8 GB RAM | 256 GB ROM,7000 mAh Battery,17.2 cm (6.77 inch) Display,4.4
340,Jio F320B,"₹2,472₹2,99917% off","5,825 Ratings & 337 Reviews",17% off,0.5MP Rear Camera,512 MB RAM | 4 GB ROM,2000 mAh Battery,6.1 cm (2.4 inch) Display,3.7
341,"Samsung Galaxy A35 5G (Awesome Iceblue, 128 GB)","₹18,999₹33,99944% off","67,499 Ratings & 3,897 Reviews",44% off,50MP + 8MP + 5MP | 13MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,16.76 cm (6.6 inch) Full HD+ Display,4.4
342,"realme P4 5G (Steel Grey, 256 GB)","₹20,999₹23,99912% off","13,016 Ratings & 894 Reviews",12% off,50MP + 8MP | 16MP Front Camera,8 GB RAM | 256 GB ROM,7000 mAh Battery,17.2 cm (6.77 inch) Display,4.4
343,"realme P4 5G (Engine Blue, 128 GB)","₹18,999₹21,99913% off","13,016 Ratings & 894 Reviews",13% off,50MP + 8MP | 16MP Front Camera,8 GB RAM | 128 GB ROM,7000 mAh Battery,17.2 cm (6.77 inch) Display,4.4
344,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)","₹10,999₹13,99921% off","38,301 Ratings & 2,253 Reviews",21% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,5000 mAh Battery,17.02 cm (6.7 inch) HD+ Display,4.2
345,"Samsung Galaxy M07 (Black, 64 GB)","₹8,277₹9,99917% off",22 Ratings & 0 Reviews,17% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,5000 mAh Battery,17.02 cm (6.7 inch) HD+ Display,4.2
346,"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 128 GB)","₹49,999₹74,99933% off","49,320 Ratings & 2,723 Reviews",33% off,50MP + 12MP | 12MP Front Camera,8 GB RAM | 128 GB ROM,4000 mAh Battery,15.75 cm (6.2 inch) Full HD+ Display,4.6
347,"Google Pixel 9A (Porcelain, 256 GB)","₹39,999₹49,99920% off","4,921 Ratings & 336 Reviews",20% off,48MP + 12MP | 12MP Front Camera,8 GB RAM | 256 GB ROM,5100 mAh Battery,15.96 cm (6.285 inch) Full HD+ Display,4.5
348,"POCO M7 Plus 5G (Chrome Silver, 128 GB)","₹13,999₹16,99917% off","5,464 Ratings & 303 Reviews",17% off,50MP AI Dual Camera,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,7000 mAh Battery,17.53 cm (6.9 inch) Display,4.3
349,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Mist White, 128 GB)","₹13,999₹16,99917% off","81,446 Ratings & 6,036 Reviews",17% off,50MP + 2MP | 8MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6000 mAh Battery,16.94 cm (6.67 inch) HD+ Display,4.5
350,"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)","₹9,999₹12,49920% off","38,301 Ratings & 2,253 Reviews",20% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB,5000 mAh Battery,17.02 cm (6.7 inch) HD+ Display,4.2
351,"Samsung Galaxy F16 5G (Glam Green, 128 GB)","₹12,499₹15,99921% off","4,219 Ratings & 253 Reviews",21% off,50MP + 5MP + 2MP | 13MP Front Camera,4 GB RAM | 128 GB ROM,5000 mAh Battery,16.91 cm (6.657 inch) Full HD+ Display,4.1
352,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Breeze Blue, 128 GB)","₹13,999₹16,99917% off","81,446 Ratings & 6,036 Reviews",17% off,50MP + 2MP | 8MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6000 mAh Battery,16.94 cm (6.67 inch) HD+ Display,4.5
353,"POCO M6 5G (Orion Blue, 64 GB)","₹8,999₹11,99925% off","1,55,263 Ratings & 7,464 Reviews",25% off,50MP Rear Camera | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,17.12 cm (6.74 inch) HD+ Display,4.2
354,"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)","₹12,499₹15,49919% off","19,738 Ratings & 1,244 Reviews",19% off,50MP + 2MP | 8MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,5000 mAh Battery,17.02 cm (6.7 inch) HD+ Display,4.2
355,"MOTOROLA G96 5G (Pantone Dresden Blue, 128 GB)","₹18,999₹20,9999% off","80,572 Ratings & 4,043 Reviews",9% off,50MP + 8MP | 32MP Front Camera,8 GB RAM | 128 GB ROM,5500 mAh Battery,16.94 cm (6.67 inch) Full HD+ Display,4.4
356,"Samsung Galaxy F36 5G (Red, 128 GB)","₹19,999₹22,99913% off","8,763 Ratings & 500 Reviews",13% off,50MP + 8MP + 2MP | 13MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,5000 mAh Battery,17.02 cm (6.7 inch) Full HD+ Display,4.3
357,"Samsung Galaxy Z Fold7 5G (Blue Shadow, 256 GB)","₹1,74,999",154 Ratings & 2 Reviews,No Offer,200MP + 12MP + 10MP | 10MP Front Camera,12 GB RAM | 256 GB ROM,4400 mAh Battery,20.32 cm (8 inch) QXGA+ Display,4.6
